Sample Number,Language,Time (seconds),Number of Compares

1,Python,0.001645,1986

2,Python,0.001687,2043

3,Python,0.001779,2022

4,Python,0.002180,2058

5,Python,0.001878,2012

6,Python,0.001760,2015

7,Python,0.001731,2003

8,Python,0.001731,1959

9,Python,0.001855,2042

10,Python,0.001683,2052

11,Python,0.003149,1998

12,Python,0.001757,1936

13,Python,0.002126,1974

14,Python,0.002086,2028

15,Python,0.001774,1976

16,Python,0.002258,2009

17,Python,0.001756,2019

18,Python,0.001703,2004

19,Python,0.002603,1983

20,Python,0.001681,1995

21,Python,0.001731,1992

22,Python,0.003402,2027

23,Python,0.002066,2008

24,Python,0.002244,2054

25,Python,0.002939,1990

26,Python,0.001970,2026

27,Python,0.002188,1963

28,Python,0.002162,2038

29,Python,0.002273,2018

30,Python,0.002069,1972

31,Python,0.002562,1998

32,Python,0.001679,1962

33,Python,0.001820,2004

34,Python,0.002259,2005

35,Python,0.001846,1988

36,Python,0.001668,2003

37,Python,0.002342,2002

38,Python,0.001897,2019

39,Python,0.002524,2019

40,Python,0.001678,1955

41,Python,0.001877,1975

42,Python,0.001675,1983

43,Python,0.004030,1996

44,Python,0.001739,1978

45,Python,0.001691,2035

46,Python,0.003177,2018

47,Python,0.001979,1996

48,Python,0.001791,1982

49,Python,0.001800,2006

50,Python,0.001670,2001

51,Python,0.001811,2034

52,Python,0.001743,1980

53,Python,0.001692,2055

54,Python,0.002385,2090

55,Python,0.001671,1991

56,Python,0.001853,2048

57,Python,0.001670,2005

58,Python,0.001778,1966

59,Python,0.002104,1995

60,Python,0.001706,2036

61,Python,0.003219,2074

62,Python,0.001640,1977

63,Python,0.001774,2040

64,Python,0.001760,1984

65,Python,0.002147,1981

66,Python,0.001907,1992

67,Python,0.001737,1972

68,Python,0.001833,2000

69,Python,0.002059,1983

70,Python,0.001965,2051

71,Python,0.001691,1997

72,Python,0.003149,1997

73,Python,0.001665,1982

74,Python,0.001955,2005

75,Python,0.002078,1979

76,Python,0.001772,1982

77,Python,0.002209,1932

78,Python,0.001699,1979

79,Python,0.001860,1985

80,Python,0.001773,2022

81,Python,0.001747,2001

82,Python,0.001739,1980

83,Python,0.001827,2068

84,Python,0.001718,2059

85,Python,0.001710,1960

86,Python,0.001657,1960

87,Python,0.001729,2036

88,Python,0.001759,1973

89,Python,0.001861,1964

90,Python,0.001741,2077

91,Python,0.001739,1965

92,Python,0.001874,2023

93,Python,0.003660,2028

94,Python,0.002307,1987

95,Python,0.001667,1971

96,Python,0.001773,1993

97,Python,0.001659,1967

98,Python,0.001671,1996

99,Python,0.001818,2002

100,Python,0.001755,1985

101,Python,0.001848,1986

102,Python,0.001918,2025

103,Python,0.001740,2028

104,Python,0.001760,1962

105,Python,0.001749,1935

106,Python,0.001762,1987

107,Python,0.001656,2004

108,Python,0.001687,2048

109,Python,0.001642,1986

110,Python,0.001962,2026

111,Python,0.001909,2011

112,Python,0.001841,2024

113,Python,0.001735,2032

114,Python,0.001638,1972

115,Python,0.001693,2030

116,Python,0.001748,1988

117,Python,0.001669,2040

118,Python,0.001678,2017

119,Python,0.002065,1982

120,Python,0.001742,2005

121,Python,0.001906,2016

122,Python,0.001872,2010

123,Python,0.001804,1978

124,Python,0.001808,1982

125,Python,0.001738,1986

126,Python,0.001884,2031

127,Python,0.002052,2031

128,Python,0.002127,2033

129,Python,0.001777,1981

130,Python,0.001767,1990

131,Python,0.001777,2000

132,Python,0.001761,2042

133,Python,0.001705,1973

134,Python,0.003157,2005

135,Python,0.002306,2023

136,Python,0.001797,1969

137,Python,0.001711,1956

138,Python,0.001732,2005

139,Python,0.002102,1988

140,Python,0.001684,2017

141,Python,0.001783,2001

142,Python,0.001652,2004

143,Python,0.002036,2009

144,Python,0.001828,2003

145,Python,0.001827,1972

146,Python,0.002042,2013

147,Python,0.001734,1979

148,Python,0.001691,1980

149,Python,0.001753,2022

150,Python,0.001634,1962

151,Python,0.002159,2046

152,Python,0.001736,2030

153,Python,0.001903,2044

154,Python,0.001823,1976

155,Python,0.001838,1975

156,Python,0.001874,1980

157,Python,0.002360,2001

158,Python,0.001654,2024

159,Python,0.002242,2015

160,Python,0.001976,2039

161,Python,0.001762,2031

162,Python,0.002031,1968

163,Python,0.001758,2038

164,Python,0.001732,1968

165,Python,0.001649,1951

