Sample Number,Language,Time (seconds),Number of Compares

1,Python,0.052834,247374

2,Python,0.064394,256850

3,Python,0.056795,246455

4,Python,0.055732,255685

5,Python,0.059807,243783

6,Python,0.061286,249999

7,Python,0.051483,242972

8,Python,0.058985,247264

9,Python,0.095866,244144

10,Python,0.101787,259202

11,Python,0.092984,247197

12,Python,0.084856,251722

13,Python,0.056787,244432

14,Python,0.057163,250828

15,Python,0.056489,252154

16,Python,0.060997,250294

17,Python,0.051302,246059

18,Python,0.102748,253223

19,Python,0.100046,246830

20,Python,0.080644,248456

21,Python,0.071774,247087

22,Python,0.099851,255898

23,Python,0.053046,246790

24,Python,0.058096,247976

25,Python,0.060361,247446

26,Python,0.055318,248746

27,Python,0.066648,244575

28,Python,0.050674,246376

29,Python,0.053351,245185

30,Python,0.058024,256328

31,Python,0.049666,254544

32,Python,0.054353,248761

33,Python,0.062836,248170

34,Python,0.054800,249018

35,Python,0.052421,248086

36,Python,0.053788,241666

37,Python,0.054809,254924

38,Python,0.053686,242351

39,Python,0.053298,245019

40,Python,0.053909,256100

41,Python,0.054317,251030

42,Python,0.054176,244693

43,Python,0.055815,245361

44,Python,0.056616,244336

45,Python,0.057303,254967

46,Python,0.055020,250740

47,Python,0.052170,242255

48,Python,0.098553,248201

49,Python,0.076942,241741

50,Python,0.065462,248177

51,Python,0.064817,254637

52,Python,0.050944,251853

53,Python,0.051967,248759

54,Python,0.051331,255098

55,Python,0.056481,257352

56,Python,0.050973,245113

57,Python,0.057739,260507

58,Python,0.099638,248763

59,Python,0.100754,252117

60,Python,0.098775,246894

61,Python,0.098518,252355

62,Python,0.069816,250003

63,Python,0.055717,246122

64,Python,0.053072,250035

65,Python,0.057291,239949

66,Python,0.054289,249916

67,Python,0.058917,249308

68,Python,0.101770,256192

69,Python,0.083050,249404

70,Python,0.071086,247978

71,Python,0.069053,250821

72,Python,0.057426,252816

73,Python,0.058724,253594

74,Python,0.054481,249087

75,Python,0.053426,252591

76,Python,0.061781,248761

77,Python,0.091586,256805

78,Python,0.085516,251562

79,Python,0.096550,256908

80,Python,0.088064,250707

81,Python,0.062162,245008

82,Python,0.054665,248674

83,Python,0.053155,253054

84,Python,0.050947,253120

85,Python,0.052090,251021

86,Python,0.055656,242140

87,Python,0.055991,244646

88,Python,0.053115,248127

89,Python,0.058604,257898

90,Python,0.053633,255675

91,Python,0.049897,246117

92,Python,0.051920,254970

93,Python,0.056859,245473

94,Python,0.049480,239027

95,Python,0.054377,249165

96,Python,0.056188,260032

97,Python,0.055679,244920

98,Python,0.054359,250922

99,Python,0.052361,251690

100,Python,0.048907,244816

101,Python,0.051632,253121

102,Python,0.055043,250398

103,Python,0.065884,250495

104,Python,0.051450,249833

105,Python,0.057164,246799

106,Python,0.058270,255576

107,Python,0.061230,251800

108,Python,0.058099,242600

109,Python,0.054684,246413

110,Python,0.102112,258236

111,Python,0.092483,251498

112,Python,0.089757,248731

113,Python,0.067561,245751

114,Python,0.058471,252326

115,Python,0.058326,247559

116,Python,0.056209,255066

117,Python,0.053920,242117

118,Python,0.071205,248527

119,Python,0.054269,244179

120,Python,0.098515,248844

121,Python,0.098467,248169

122,Python,0.072058,247780

123,Python,0.088452,257167

124,Python,0.080684,257246

125,Python,0.060943,258261

126,Python,0.066610,245105

127,Python,0.063132,259031

128,Python,0.055120,247622

129,Python,0.100167,245537

130,Python,0.102030,255845

131,Python,0.099950,255015

132,Python,0.098527,252483

133,Python,0.089868,245334

134,Python,0.051314,244010

135,Python,0.059668,249522

136,Python,0.060813,253050

137,Python,0.053242,247765

138,Python,0.050539,243994

139,Python,0.054728,253306

140,Python,0.100971,255622

141,Python,0.091833,244011

142,Python,0.079189,253064

143,Python,0.069521,245735

