Sample Number,Language,Time (seconds),Number of Compares

1,Python,0.013064,36551

2,Python,0.015453,27122

3,Python,0.008963,17902

4,Python,0.011470,32785

5,Python,0.009208,17793

6,Python,0.010820,22245

7,Python,0.009286,22528

8,Python,0.010205,31779

9,Python,0.016493,43571

10,Python,0.011471,28942

11,Python,0.022340,43741

12,Python,0.009824,26228

13,Python,0.011434,30555

14,Python,0.009669,23524

15,Python,0.011755,23926

16,Python,0.010808,32305

17,Python,0.012483,30215

18,Python,0.014947,35429

19,Python,0.009074,17031

20,Python,0.018411,22780

21,Python,0.009201,18926

22,Python,0.014898,45469

23,Python,0.011993,29377

24,Python,0.011808,24316

25,Python,0.011177,25961

26,Python,0.010471,17067

27,Python,0.010400,27421

28,Python,0.013325,43845

29,Python,0.010584,34967

30,Python,0.023499,46564

31,Python,0.013332,24744

32,Python,0.010303,26734

33,Python,0.015951,26713

34,Python,0.009357,18435

35,Python,0.011704,27354

36,Python,0.011383,36486

37,Python,0.013081,55030

38,Python,0.011553,24115

39,Python,0.012923,30142

40,Python,0.017386,28314

41,Python,0.021127,32193

42,Python,0.011286,33364

43,Python,0.013316,28943

44,Python,0.011099,30576

45,Python,0.010329,26214

46,Python,0.011235,43943

47,Python,0.008835,15897

48,Python,0.013092,30072

49,Python,0.010132,20068

50,Python,0.009213,21773

51,Python,0.015973,28845

52,Python,0.019725,21258

53,Python,0.010850,37105

54,Python,0.017283,19823

55,Python,0.010828,35149

56,Python,0.012081,44719

57,Python,0.011065,28306

58,Python,0.012997,25038

59,Python,0.009133,16356

60,Python,0.011689,40480

61,Python,0.011374,34262

62,Python,0.020730,35902

63,Python,0.012176,16914

64,Python,0.010839,28936

65,Python,0.012872,23169

66,Python,0.008958,18162

67,Python,0.010485,28261

68,Python,0.014055,34142

69,Python,0.011223,29585

70,Python,0.010833,38168

71,Python,0.012093,25601

72,Python,0.011643,48732

73,Python,0.010578,35965

74,Python,0.011947,41766

75,Python,0.012185,48570

76,Python,0.011342,33273

77,Python,0.011596,45462

78,Python,0.015855,39616

79,Python,0.010071,28885

80,Python,0.018381,20285

81,Python,0.016590,20262

82,Python,0.013372,50025

83,Python,0.010955,18230

84,Python,0.009721,26141

85,Python,0.012486,25941

86,Python,0.020273,31598

87,Python,0.010527,33434

88,Python,0.011875,34897

89,Python,0.016544,21051

90,Python,0.025771,56489

91,Python,0.010288,26522

92,Python,0.010144,28266

93,Python,0.010296,31574

94,Python,0.012839,37608

95,Python,0.013270,27464

96,Python,0.013207,26120

97,Python,0.014710,27468

98,Python,0.010168,31447

99,Python,0.009735,23567

100,Python,0.012220,29849

101,Python,0.010131,30518

102,Python,0.010006,29664

103,Python,0.009431,20173

104,Python,0.012797,55827

105,Python,0.009175,20335

106,Python,0.009836,27692

107,Python,0.017488,49662

108,Python,0.009318,21786

109,Python,0.011817,37899

110,Python,0.016489,25361

111,Python,0.008861,17700

112,Python,0.017943,31738

113,Python,0.012781,33922

114,Python,0.013384,34846

115,Python,0.010197,30898

116,Python,0.011472,38852

117,Python,0.010406,25782

118,Python,0.009290,16986

119,Python,0.020301,33941

120,Python,0.013643,30553

121,Python,0.015654,20998

122,Python,0.012614,42021

123,Python,0.009885,25507

124,Python,0.008990,16794

125,Python,0.010089,26594

126,Python,0.011749,28639

127,Python,0.011103,29224

128,Python,0.011537,29393

129,Python,0.025004,52762

130,Python,0.011109,36845

131,Python,0.017645,27446

132,Python,0.016102,34140

133,Python,0.013153,35329

134,Python,0.012549,25063

135,Python,0.012062,43355

136,Python,0.010335,28143

137,Python,0.010039,27665

138,Python,0.011429,34128

139,Python,0.024312,54874

140,Python,0.018563,31282

141,Python,0.011253,35580

142,Python,0.017083,34050

143,Python,0.010888,33955

144,Python,0.011192,35275

145,Python,0.013342,48811

146,Python,0.011273,36058

147,Python,0.010367,24031

148,Python,0.012013,20769

149,Python,0.014532,78798

150,Python,0.010234,26165

151,Python,0.009909,27967

152,Python,0.009849,25949

153,Python,0.011657,18334

154,Python,0.010271,32099

155,Python,0.015897,39042

156,Python,0.016675,14304

157,Python,0.011252,33847

158,Python,0.012576,29462

159,Python,0.008756,14296

160,Python,0.009756,24686

161,Python,0.013406,29748

162,Python,0.008572,13446

163,Python,0.015359,19059

164,Python,0.012112,35494

165,Python,0.009671,25059

166,Python,0.010753,20473

167,Python,0.009802,21583

168,Python,0.017689,48249

169,Python,0.009208,14249

170,Python,0.009202,15702

171,Python,0.009687,24279

172,Python,0.010115,18106

173,Python,0.009443,21446

174,Python,0.009350,19972

175,Python,0.012445,34683

176,Python,0.009900,26835

177,Python,0.009915,27962

178,Python,0.018190,33174

179,Python,0.012558,40011

180,Python,0.017868,26502

181,Python,0.010493,23748

182,Python,0.010137,30254

183,Python,0.012091,39693

184,Python,0.010126,27447

185,Python,0.009551,22467

186,Python,0.010436,19118

187,Python,0.013089,28595

188,Python,0.011713,30048

189,Python,0.010702,34787

190,Python,0.017893,22205

191,Python,0.010701,32256

192,Python,0.011132,28140

193,Python,0.009465,23255

194,Python,0.013628,48122

195,Python,0.011650,37559

196,Python,0.012356,44419

197,Python,0.010544,26633

198,Python,0.009639,23298

199,Python,0.009725,23255

200,Python,0.012039,33352
