Sample Number,Language,Time (seconds),Number of Compares

1,Python,1.629874,2355318

2,Python,1.875839,3029142

3,Python,1.960729,2326816

4,Python,1.900685,1776296

5,Python,1.665038,1613139

6,Python,1.661679,1740668

7,Python,1.686032,1461880

8,Python,1.921930,3027930

9,Python,1.916217,1480205

10,Python,1.731776,1828661

11,Python,1.810029,1935376

12,Python,1.934248,2857088

13,Python,1.623425,1624824

14,Python,1.457708,1524888

15,Python,1.949258,3367870

16,Python,1.812377,2157103

17,Python,1.604756,1793314

18,Python,2.032272,3601390

19,Python,1.865276,2482615

20,Python,0.210301,395931

21,Python,1.487796,1802023

22,Python,1.362701,1512265

23,Python,1.543631,2266395

24,Python,1.418435,1719864

25,Python,1.335403,2192623

26,Python,1.791113,2932184

27,Python,1.616889,2440819

28,Python,1.492461,2110457

29,Python,1.411986,2005321

30,Python,1.361888,1251317

31,Python,1.419100,2081278

32,Python,1.433225,2251573

33,Python,1.229190,1243937

34,Python,1.464650,1809688

35,Python,1.210276,1453793

36,Python,1.539254,2763559

37,Python,1.626187,3549056

38,Python,0.899151,1683270

39,Python,1.413294,1658754

40,Python,1.790357,4459383

41,Python,1.271510,2004687

42,Python,1.619753,3393399

43,Python,1.220686,1045374

44,Python,1.303022,1520559

45,Python,1.722418,3395822

46,Python,1.618831,2831814

47,Python,1.460144,2500300

48,Python,1.417176,2636028

49,Python,1.285813,1633156

50,Python,1.457140,2843108

51,Python,1.412212,1873444

52,Python,1.668982,3302088

53,Python,1.628128,2547414

54,Python,1.433365,1712054

55,Python,1.573588,2816621

56,Python,1.475630,3130953

57,Python,1.411257,2192213

58,Python,1.223714,1732870

59,Python,1.385495,2262735

60,Python,1.341042,2187730

61,Python,1.361349,2460412

62,Python,1.309649,1951399

63,Python,1.154549,1446454

64,Python,1.416755,2618155

65,Python,1.345979,2334898

66,Python,1.317929,1587956

67,Python,1.380244,1918193

68,Python,1.338108,2046550

69,Python,1.679425,2418440

70,Python,1.224178,1915297

